Observer: RMA
     lat: 50:50:38.5
     lon: 4:23:34.5
    date: 2020/04/01  cutoff: 10

      |#Vis|   GSAT0101 (   GSAT0102 (   GSAT0103 (   GSAT0104 (   GSAT0201 (   GSAT0202 (   GSAT0203 (   GSAT0204 (   GSAT0205 (   GSAT0206 (   GSAT0209 (   GSAT0208 (   GSAT0211 (   GSAT0210 (   GSAT0207 (   GSAT0212 (   GSAT0213 (   GSAT0214 (   GSAT0215 (   GSAT0216 (   GSAT0217 (   GSAT0218 (   GSAT0221 (   GSAT0222 (   GSAT0219 (   GSAT0220 (
                 PRN E11)     PRN E12)     PRN E19)     PRN E20)     PRN E18)     PRN E14)     PRN E26)     PRN E22)     PRN E24)     PRN E30)     PRN E09)     PRN E08)     PRN E02)     PRN E01)     PRN E07)     PRN E03)     PRN E04)     PRN E05)     PRN E21)     PRN E25)     PRN E27)     PRN E31)     PRN E15)     PRN E33)     PRN E36)     PRN E13)

04:40 |  9 |  ---- -----   17.0 324.8   ---- -----   52.1 284.9   ---- -----   ---- -----   13.2 221.6   ---- -----   ---- -----   43.2 107.2   ---- -----   18.7  96.7   26.6  45.7   ---- -----   70.7  86.1   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   18.8 163.1   ---- -----   ---- -----   28.4 271.9   ---- -----   ---- ----- 
05:00 |  9 |  ---- -----   18.7 318.4   12.9 284.1   58.7 289.3   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   47.0  97.6   ---- -----   13.0 101.5   22.5  40.3   ---- -----   64.2  95.1   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   26.5 161.7   ---- -----   ---- -----   23.8 265.2   ---- -----   ---- ----- 
05:20 |  8 |  ---- -----   19.0 311.5   18.7 288.0   65.5 293.2   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   48.9  86.5   ---- -----   ---- -----   17.5  36.3   ---- -----   57.6 102.5   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   34.3 160.1   ---- -----   ---- -----   18.4 259.5   ---- -----   ---- ----- 
05:40 |  8 |  ---- -----   17.9 304.5   24.7 291.6   72.4 295.8   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   48.6  75.2   ---- -----   ---- -----   12.0  33.5   ---- -----   51.0 108.9   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   42.3 157.9   ---- -----   ---- -----   12.6 254.6   ---- -----   ---- ----- 
06:00 |  6 |  ---- -----   15.4 297.9   30.9 294.6   79.6 294.9   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   46.2  65.2   ---- -----   ---- -----   ---- -----   ---- -----   44.4 114.7   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   50.2 154.3   ---- -----   ---- -----   ---- -----   ---- -----   ---- ----- 
06:20 |  7 |  ---- -----   11.9 291.7   37.4 297.0   86.4 269.6   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   42.1  57.5   ---- -----   ---- -----   ---- -----   ---- -----   37.7 120.1   ---- -----   ---- -----   ---- -----   17.0 193.5   ---- -----   57.6 148.4   ---- -----   ---- -----   ---- -----   ---- -----   ---- ----- 
06:40 |  6 |  ---- -----   ---- -----   44.0 298.3   84.4 164.3   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   36.8  52.0   ---- -----   ---- -----   ---- -----   ---- -----   31.1 124.9   ---- -----   ---- -----   ---- -----   24.6 195.0   ---- -----   64.2 138.3   ---- -----   ---- -----   ---- -----   ---- -----   ---- ----- 
07:00 |  6 |  ---- -----   ---- -----   50.7 298.1   76.9 153.1   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   30.9  48.7   ---- -----   ---- -----   ---- -----   ---- -----   24.4 129.3   ---- -----   ---- -----   ---- -----   32.3 197.0   ---- -----   68.8 121.7   ---- -----   ---- -----   ---- -----   ---- -----   ---- ----- 
07:20 |  6 |  ---- -----   ---- -----   57.4 295.6   69.0 152.8   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   24.6  47.1   ---- -----   ---- -----   ---- -----   ---- -----   17.9 133.3   ---- -----   ---- -----   ---- -----   40.2 199.3   ---- -----   70.0  99.6   ---- -----   ---- -----   ---- -----   ---- -----   ---- ----- 
07:40 |  6 |  ---- -----   ---- -----   63.7 289.2   61.1 154.5   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   18.2  46.8   ---- -----   ---- -----   ---- -----   ---- -----   11.3 136.8   ---- -----   ---- -----   ---- -----   48.2 201.8   ---- -----   67.4  79.9   ---- -----   ---- -----   ---- -----   ---- -----   ---- ----- 
08:00 |  7 |  ---- -----   ---- -----   68.7 276.5   53.1 156.7   13.0 115.6   ---- -----   ---- -----   ---- -----   ---- -----   11.9  47.6   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   15.4 310.5   ---- -----   56.3 204.6   ---- -----   62.3  67.5   ---- -----   ---- -----   ---- -----   ---- -----   ---- ----- 
