Observer: RMA
     lat: 50:50:38.5
     lon: 4:23:34.5
    date: 2020/04/01  cutoff: 10

      |#Vis|   GPS BIIR-2   GPS BIIR-3   GPS BIIR-4   GPS BIIR-5   GPS BIIR-6   GPS BIIR-8   GPS BIIR-9   GPS BIIR-1   GPS BIIR-1   GPS BIIR-1   GPS BIIR-1   GPS BIIRM-   GPS BIIRM-   GPS BIIRM-   GPS BIIRM-   GPS BIIRM-   GPS BIIRM-   GPS BIIRM-   GPS BIIF-1   GPS BIIF-2   GPS BIIF-3   GPS BIIF-4   GPS BIIF-5   GPS BIIF-6   GPS BIIF-7   GPS BIIF-8   GPS BIIF-9   GPS BIIF-1   GPS BIIF-1   GPS BIIF-1   GPS BIII-1
                 (PRN 13)     (PRN 11)     (PRN 20)     (PRN 28)     (PRN 14)     (PRN 16)     (PRN 21)   0 (PRN 22)   1 (PRN 19)   2 (PRN 23)   3 (PRN 02)   1 (PRN 17)   2 (PRN 31)   3 (PRN 12)   4 (PRN 15)   5 (PRN 29)   6 (PRN 07)   8 (PRN 05)     (PRN 25)     (PRN 01)     (PRN 24)     (PRN 27)     (PRN 30)     (PRN 06)     (PRN 09)     (PRN 03)     (PRN 26)   0 (PRN 08)   1 (PRN 10)   2 (PRN 32)     (PRN 04)

03:40 |  9 |  ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   14.9  48.0   ---- -----   ---- -----   ---- -----   33.9  72.9   45.7 265.2   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   56.1 156.2   28.9 299.4   ---- -----   ---- -----   ---- -----   ---- -----   29.1 187.7   41.4 213.7   60.7  69.1   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   25.5  70.3 
04:00 |  9 |  ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   14.6  39.4   ---- -----   ---- -----   ---- -----   26.0  76.6   42.4 253.3   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   63.7 144.4   37.3 300.2   ---- -----   ---- -----   ---- -----   ---- -----   38.4 187.3   32.7 208.4   51.9  73.1   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   17.8  74.1 
04:20 | 10 |  12.4 257.0   ---- -----   ---- -----   ---- -----   ---- -----   12.5  31.3   ---- -----   ---- -----   ---- -----   18.4  80.8   37.0 243.4   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   68.6 124.1   46.0 299.1   ---- -----   ---- -----   ---- -----   ---- -----   48.0 186.3   23.9 204.6   43.4  77.6   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   10.5  78.3 
04:40 |  8 |  19.8 262.0   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   11.1  85.1   30.4 235.5   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   68.9  98.3   54.4 294.9   ---- -----   ---- -----   ---- -----   ---- -----   57.6 183.8   15.3 201.4   35.3  82.3   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- ----- 
05:00 |  6 |  27.5 267.3   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   23.1 229.2   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   64.5  78.0   62.0 285.3   ---- -----   ---- -----   ---- -----   ---- -----   66.9 177.3   ---- -----   27.4  87.1   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- ----- 
05:20 |  7 |  35.3 272.7   ---- -----   ---- -----   12.8 152.8   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   15.5 223.9   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   57.5  67.0   67.4 267.1   ---- -----   ---- -----   ---- -----   ---- -----   74.9 160.2   ---- -----   19.8  92.0   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- ----- 
05:40 |  7 |  43.5 278.2   ---- -----   ---- -----   21.1 149.0   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   13.6 283.0   ---- -----   49.4  62.0   68.2 241.5   ---- -----   ---- -----   ---- -----   ---- -----   78.3 120.6   ---- -----   12.5  96.8   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- ----- 
06:00 |  7 |  51.9 283.8   ---- -----   ---- -----   29.7 144.6   ---- -----   ---- -----   12.5 324.5   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   21.4 286.7   ---- -----   41.0  60.4   64.0 219.4   ---- -----   ---- -----   ---- -----   ---- -----   74.0  84.9   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- ----- 
06:20 |  7 |  60.5 289.7   ---- -----   ---- -----   38.1 138.9   ---- -----   ---- -----   13.7 317.1   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   29.5 289.8   ---- -----   32.7  60.9   56.6 206.0   ---- -----   ---- -----   ---- -----   ---- -----   66.1  71.1   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- ----- 
06:40 |  7 |  69.5 296.1   ---- -----   ---- -----   45.8 131.0   ---- -----   ---- -----   13.2 309.5   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   38.0 292.1   ---- -----   24.6  62.6   47.9 198.6   ---- -----   ---- -----   ---- -----   ---- -----   57.4  67.0   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- -----   ---- ----- 
